BAscore,abv,beer_img,beer_name,brewery,desc,num_reviews,ranking
3.33,7.00,https://cdn.beeradvocate.com/im/beers/69836.jpg,Ironshore Bock,Cayman Islands Brewery Ltd.,None provided.,16,43948
3.5,7.00,https://cdn.beeradvocate.com/im/beers/41696.jpg,Boaks Two Blind Monks Ale,Boak Beverage,None provided.,71,41308
4.08,9.99,https://cdn.beeradvocate.com/im/beers/116348.jpg,Blakkr,Real Ale Brewing Company,This is the 12oz canned Real Ale version.,23,5969
3.81,5.20,https://cdn.beeradvocate.com/im/beers/184051.jpg,GPA (German Pale Ale),3 Nations Brewing Co.,"A German style pale ale debatably does not exist in the craft beer industry. Until now. 3 Nations’ German Pale Ale (GPA) is our experiment turned calling card. We couldn’t be more proud of the way this beer’s enormous citrus, passion fruit, and lemony like aromas blend with a bitterness that gives it a recognizable finish. Plus, the well-rounded malt profile balances out the American hops. That’s right, we used American hops to brew this cross of a German Alt/Koelsch. It’s not blasphemy. Just a revised version of a traditional style, with a little greatness mixed in.",14,23228
3.79,5.10,https://cdn.beeradvocate.com/im/beers/118004.jpg,Little London,Pikes Peak Brewing Company,None provided.,6,25119
3.86,5.50,https://cdn.beeradvocate.com/im/beers/6481.jpg,Moat Bone Shaker Brown,Moat Mountain Smoke House & Brewing Co.,"An English-style brown ale. This beer has a biscuit-like smoothness with a rich, malt body and medium hop bitterness.",41,18909
3.69,5.50,https://cdn.beeradvocate.com/im/beers/31412.jpg,Madtown Nutbrown,Ale Asylum,A blend of seven unique malts give this brown ale an earthy aroma and a flavor reminiscent of caramel with a slightly creamy finish.,107,32471
3.5,8.30,,Mammoth,Greenbush Brewing Company,None provided.,4,39388
3.78,10.00,https://cdn.beeradvocate.com/im/beers/65239.jpg,Long Winter's Nap,Blue Mountain Brewery,None provided.,20,25553
3.74,6.00,,Eisbock,Gananoque Brewing Company,None provided.,0,-
3.56,8.00,https://cdn.beeradvocate.com/im/beers/53025.jpg,Fireman's Brew Brunette Beer,"Fireman's Brew, Inc.",None provided.,31,39456
3.99,5.60,https://cdn.beeradvocate.com/im/beers/119506.jpg,Eldir,Banded Brewing Co.,"Bamberg-style RauchbierBrewed with 100% Beechwood smoked malt. Rugged yet pleasant notes of campfire smoke, hearth-baked bread + mulling spices. The Fire Kindler.",0,14262
3.38,5.50,https://cdn.beeradvocate.com/im/beers/43431.jpg,Dundee Oktoberfest,Genesee Brewing Co. / Dundee Brewing Co.,None provided.,148,44133
2.89,5.00,https://cdn.beeradvocate.com/im/beers/2054.jpg,U Rousse,Unibroue,None provided.,30,46658
3.56,5.60,https://cdn.beeradvocate.com/im/beers/36100.jpg,Muddy Creek Lager,The Defiant Brewing Company,None provided.,25,39068
3.88,4.80,https://cdn.beeradvocate.com/im/beers/193038.jpg,Fruitlands - Apricot,Modern Times Beer,"Fruitlands is tart, fruity, and frighteningly delicious. The sour, salty base beer lays down the funky refreshment, while a heavy dose of apricot turns the whole thing into a wall-to-wall stone fruit fiesta. It’s a marvelous mix of elements that collides with your mouth like a fruit-filled asteroid of flavor traveling at the supersonic speed of party.",31,17350
4.39,5.00,https://cdn.beeradvocate.com/im/beers/140318.jpg,Nelson Hose,de Garde Brewing,"A dry hopped spontaneous wild ale aged in oak barrels with coriander, orange peel and sea salt.",17,617
4.1,10.00,https://cdn.beeradvocate.com/im/beers/401036.jpg,Más Agave,Founders Brewing Company," Limited (brewed once)We love cocktails. Like, really love them. If you ask us, few are more refreshing than the tart and tangy margarita and our latest barrel-aged beer pays tribute to that perennial classic. We took an imperial gose brewed with agave, lime and sea salt and then aged it in tequila barrels for just the right amount of kick. Consider it a party in a bottle. Más Agave!",63,-
3.31,5.50,https://cdn.beeradvocate.com/im/beers/80684.jpg,Marionberry Hibiscus Gose,Widmer Brothers Brewing Company,None provided.,51,44906
3.85,8.30,https://cdn.beeradvocate.com/im/beers/238161.jpg,Imperial Cherry Gose,Southern Tier Brewing Company,"The finished beer is a striking, lustful shade of red with a persistent white head and durable lacing thanks to the large portion of wheat in the grist. The nose is defined by equal parts bright lactic acidity and cherry notes with a hint of coriander. On the palate, the strong lactic acidity is accentuated by the natural tartness of the cherry juice. Quantitatively, this beer is quite sweet, but we find that this level of residual sweetness is just enough to balance the acidity and that the overall perception of the beer is actually quite dry. The beer finishes very clean and in conjunction with the salt in the finish, it definitely makes you want to come back for more.Total Acidity: 9.9 ml/100g",43,19729
3.78,4.50,https://cdn.beeradvocate.com/im/beers/212422.jpg,Watermelon Gose,Terrapin Beer Company,"Tart and refreshing, our gose is sure to blow any picnic out of the water... melon",50,25464
3.9,7.00,https://cdn.beeradvocate.com/im/beers/107200.jpg,Hitachino Nest Anbai Ale,Kiuchi Brewery,"Anbai literally means “Salty Plum” and the word is also used to describe the stat of taste and flavor. Ii Anbai means “just right”!Hitachino Nest Anbai Ale is brewed based on the high alcohol version (7%) of the siganture beer Hitachino Nest White Ale, infused with locally grown green sour plum (ume), and finished up with a pinch of Japanese sea salt (moshio). The balance of sourness, bitterness, comes from the plum and subtle saltiness, great umami taste of the sea salt is “Ii Anbai - just right!”",36,15848
3.62,4.00,https://cdn.beeradvocate.com/im/beers/80190.jpg,26.2 Brew,Boston Beer Company (Samuel Adams),"26.2 Brew is a new take on a beloved beer originally brewed in 2012 for the Boston Marathon. Brewed with Himalayan sea salt and coriander, 26.2 Brew is a crisp, light ale developed for runners, by runners. Shelley Smith, a brewer and marathon runner, developed 26.2 Brew out of her passion to help runners celebrate with the most refreshing beer possible.",40,36699
4.11,4.80,https://cdn.beeradvocate.com/im/beers/236802.jpg,Gose Gone Wild World Tour! - Phuket,Stillwater Artisanal Ales,"Sour Wheat Ale with mango, lemon grass, thai peppers, and sea salt.",40,5010
3.83,3.80,https://cdn.beeradvocate.com/im/beers/85026.jpg,Hors Série Gose,Les Trois Mousquetaires,None provided.,47,21323
3.95,5.20,https://cdn.beeradvocate.com/im/beers/54387.jpg,Gose,Upright Brewing Company,"Based on an obscure centuries old German style that incorporates salt and coriander into a distinctly tart wheat beer with a dry champagne like finish. 2010 World Beer Cup Bronze medal winner.Malts: pilsener, wheat, organic caramelHops: hallertauer mittelfrühAlso: coriander, saltYeast: French saison1st Release - January 20102nd Release - April 2011",68,12411
4.15,4.00,https://cdn.beeradvocate.com/im/beers/87487.jpg,Gose,Rapp Brewing Company,None provided.,15,3807
3.98,5.00,https://cdn.beeradvocate.com/im/beers/122112.jpg,Harborside,Night Shift Brewing,Gose-style sour ale brewed with coriander and oysters from Island Creek Oysters.**We recommend that those with shellfish or oyster allergies don't sample Harborside**,24,10627
3.46,4.80,https://cdn.beeradvocate.com/im/beers/219875.jpg,Got To Gose,Boston Beer Company (Samuel Adams),None provided.,56,42514
4.03,6.00,https://cdn.beeradvocate.com/im/beers/163550.jpg,Bianca Mango Lassi Gose,Omnipollo,None provided.,53,8109
3.89,4.10,https://cdn.beeradvocate.com/im/beers/197774.jpg,Tropicmost Passionfruit Gose,Wicked Weed Brewing,"For us, this Old World-inspired beer is mile zero - the point at which we faithfully spin the needle on the compass and follow at will. From the warmer climates of equatorial lands, this Gose takes its tropic inspiration. Brewed with tart passion fruit and flavor-brightening sea salt, Tropicmost Gose is a roadmap of the Southern Americas. Cheer to moving until direction is found.",43,16513
4.17,4.80,https://cdn.beeradvocate.com/im/beers/174869.jpg,Super Going,Grimm Artisanal Ales,"Aggressively dry hopped with new German aroma hops Mandarina Bavaria and Huell Melon; orange zest to boost. Lightly toasted white oak provides tannin's and mouthfeel. Assertively tart, with light sea salt appearing on the finish.",36,3308
3.86,4.20,https://cdn.beeradvocate.com/im/beers/183878.jpg,GT Gose,Anderson Valley Brewing Company,"Reminiscent of a classic cocktail, our GT Gose showcases botanical flavors and aromas of lemon peel, juniper, lemongrass, and grains of paradise. With a juicy lemon-lime tartness and a slightly peppery finish, we've given the gose style a unique spin that we're sure you'll enjoy.",65,18788
3.52,5.20,https://cdn.beeradvocate.com/im/beers/92036.jpg,Schell's Goosetown Gose,August Schell Brewing Company,"Schell's Goosetown is our interpretation of a traditional, German-style Gose. The beer pours clear, golden orange in color, with a thick white foam head. It has a bright lemon zest and coriander aroma with a slight saltiness reminiscent of a cool ocean breeze. A refreshingly light and citrusy tartness greets your palate, backed by a bready, wheat malt character and a touch of coriander spice. Lighter bodied, yet full flavored with a lively carbonation that gives the beer a crisp, dry finish. A uniquely refreshing session beer, perfectly suited for a warm summer day from the August Schell Brewing Company.",56,41071
4.21,4.80,https://cdn.beeradvocate.com/im/beers/170091.jpg,The Wind,Lost Nation Brewing,"Introducing our latest bottled beer, The Wind. The Wind is our classic Gose dry hopped with Citra hops and grapefruit. Some of you may have had this beer in the past as a cask beer. Well we liked it so much that we figured out how to bottle it.",47,2458
3.54,4.00,https://cdn.beeradvocate.com/im/beers/188186.jpg,Ready Set Gose,Uinta Brewing Company,None provided.,77,40452
3.77,5.00,https://cdn.beeradvocate.com/im/beers/91086.jpg,Freigeist / Bayerischer Bahnhof Geisterzug Gose,Freigeist Bierkultur,"Based on a recipe dating back at least six hundred years, this is Freigeist’s quirky version of the nearly-extinct traditional sour beer of Leipzig. “Geisterzug” (“Ghost Train”) spruced gose is unusually complex, funky, and full-bodied, the perfect modern-day medieval German ale.",63,26545
4.07,4.20,https://cdn.beeradvocate.com/im/beers/173428.jpg,Suburban Beverage,Perennial Artisan Ales,None provided.,44,6284
3.94,4.20,https://cdn.beeradvocate.com/im/beers/84258.jpg,Old Pro,Union Craft Brewing Company,"A dash of salt. A touch of tart. That’s what makes this unique German-style wheat beer a seasoned professional at serious summer thirst quenching. With its glowing golden color, peach & citrus nose followed by a prickly mouthfeel that leaves a gentle tartness and a dash of salt on the palate, the Old Pro never fails to bring you back for another sip.BITTERNESS (IBU): 10COLOR: Straw/pale – GoldMALT: Wheat, Pils, AcidulatedADJUNCTS: Salt, Coriander SeedYEAST: Lactobacillus, German Ale",52,12858
4.21,4.70,https://cdn.beeradvocate.com/im/beers/205192.jpg,Super Spruce,Grimm Artisanal Ales,dry-hopped gose w/ spruce tips.,67,2421
3.96,5.40,https://cdn.beeradvocate.com/im/beers/196618.jpg,Prairie Flare,Prairie Artisan Ales,Gose Ale Brewed with Orange and Coriander,63,11656
4.03,5.00,https://cdn.beeradvocate.com/im/beers/198890.jpg,Fruitlands,Modern Times Beer,"Formerly Fruitlands - Passion Fruit And GuavaFruitlands is tart, fruity, and frighteningly delicious. The sour, salty base beer lays down the funky refreshment, while a heavy dose of passion fruit and guava turns the whole thing into a wall-to-wall tropical fruit fiesta. It's a marvelous mix of elements that collides with your mouth like a fruit-filled asteroid of flavor traveling at the supersonic speed of party.",90,7925
3.6,4.50,https://cdn.beeradvocate.com/im/beers/223871.jpg,El Gose,Avery Brewing Company,"A timeless, traditional tart gose (goes-uh) with its zesty and salty disposition is brightened by a tangy citrus twist. A bier for every día!",93,37958
4.38,4.00,https://cdn.beeradvocate.com/im/beers/131657.jpg,Hose,de Garde Brewing,"Dry-hopped Gose style ale aged in oak barrels with coriander and citrus peel.Batch 1, best by 1/03/15Batch 2, best by 2/13/15",40,579
4.12,4.00,https://cdn.beeradvocate.com/im/beers/161358.jpg,Mission Gose,Evil Twin Brewing,"Effortlessly cool, popping up in a cultish fashion and constantly on a tasty mission. This is Mission Gose: our take on an old-fashioned and slightly odd German beer style that is with good reason trending as the tastiest right now. It’s tart, salty, low in alcohol and probably the most refreshing beer you’ll ever have. Perhaps enjoy this beer in a restaurant with a mission near you. Wherever you are we made it stylishly good and exclusively well balanced just for you.",72,4437
4.22,4.00,https://cdn.beeradvocate.com/im/beers/104279.jpg,Gozu,Westbrook Brewing Co.,None provided.,37,2196
3.45,6.00,https://cdn.beeradvocate.com/im/beers/80458.jpg,Samuel Adams Verloren,Boston Beer Company (Samuel Adams),None provided.,144,42908
4,4.20,https://cdn.beeradvocate.com/im/beers/11218.jpg,Döllnitzer Ritterguts Gose,Brauhaus Hartmannsdorf GmbH,None provided.,117,9301
4.24,4.00,https://cdn.beeradvocate.com/im/beers/224761.jpg,Key Lime Pie Gose,Westbrook Brewing Co.,Gose brewed with salt and coriander and infused with the delicious flavors of key lime pie.,102,1853
3.95,5.50,https://cdn.beeradvocate.com/im/beers/176881.jpg,Evil Twin / Two Roads - Two Evil Geyser Gose,Two Roads Brewing Company,"Our first-ever collaboration, brewed with Jeppe from Evil Twin. Two Evil twist on gose with ingredients sourced from Iceland including Icelandic moss, rye, herbs, sea kelp, skyr and birch smoked sea salt.The result of this adventure is Two Evil Geyser Gose: A classic sour/tart beer with a hint of smoke, light lemon color, dry finish and thirst quenching appeal.",118,12094
3.9,4.60,https://cdn.beeradvocate.com/im/beers/278457.jpg,Green Zebra Gose,Founders Brewing Company,"Subtly sour and a little sweet, this ale is a refreshing take on a nearly extinct German style, gose. Watermelon is the highlight of this lightly-hopped treat and gives it a hint of satisfying juiciness. The soft mouthfeel and dry finish comes courtesy of the addition of sea salt, a traditional gose ingredient.Green Zebra was initially released as our Artist Series beer in 2017.",129,15490
3.74,5.00,https://cdn.beeradvocate.com/im/beers/103462.jpg,Golden Gate Gose,Almanac Beer Co.,"Our Golden Gate Gose is inspired by the classic wheat beer hailing from Leipzig, Germany. Traditionally brewed with salt and coriander, our tart California-inspried version is brewed with San Francisco Bay sea salt, lemon verbena from Eatwell Farm in Dixon, and coriander grown and dried especially for us by Dirty Girl Produce in Santa Cruz, California. Fermented with our house saison yeast, this delicate and tart beer is a perfect summer refresher. Pair with fresh seafood and sunshine.",73,28794
3.93,4.20,https://cdn.beeradvocate.com/im/beers/184814.jpg,Briney Melon Gose,Anderson Valley Brewing Company,"Born from our passion for experimentation, our Briney Melon Gose boasts a thirst-quenching tartness that is perfectly balanced by subtle watermelon flavors and aromas. Gentle additions of sea salt create a refreshing harmony between the acidity and fruity sweetness leading to clean, dry finish.",146,13343
3.85,4.20,https://cdn.beeradvocate.com/im/beers/91780.jpg,Hibiscus Gose,Boulevard Brewing Co.,None provided.,119,19458
4.01,4.80,https://cdn.beeradvocate.com/im/beers/94723.jpg,Gose,Lost Nation Brewing,"A traditional German beer style that was all but extinct 30 years ago. An amazingly refreshing beer brewed with coriander and sea salt. The tart, dry finish combined with the hint of salt and citrus leaves your palate craving another sip.",117,8704
3.54,4.20,https://cdn.beeradvocate.com/im/beers/169237.jpg,Jammer,Sixpoint Brewery,"The Mad Scientists kept tweakin' that Jammer till it rocked so hard. Bygone brewers repping the Sixpoint star provided the concept and our friends at Jacobsen Salt hooked us up with the key ingredient. It's salty, it's sour, and it's slammin.' It's Mad Science.",219,40648
3.92,5.00,https://cdn.beeradvocate.com/im/beers/133043.jpg,WiLD Sour Series: Here Gose Nothin',DESTIHL Brewery,"Our Leipzig-Style Gose undergoes a spontaneous fermentation, similar to Belgian-style Gueuze/Lambic beers, and exhibits a complexity of acidic flavor and aroma contributed by wild yeast lactic fermentation. Lemon, lime and other citrus-like qualities are present in aroma and on the palate, which is balanced by the spicy character of added coriander and a mineral-mouthfeel from added sea salt. ",145,13959
3.84,4.90,https://cdn.beeradvocate.com/im/beers/235905.jpg,SeaQuench Ale,Dogfish Head Craft Brewery,"SeaQuench Ale is our session sour quencher made with lime peel, black lime and sea salt. It’s a citrusy-tart union of three German styles of beer blissfully brewed into one. We begin by brewing a straightforward Kolsch with lots of wheat and Munich Malt, then we brew a salty Gose with black limes, coriander and our sea salt. We follow it all up with a citrusy-tart Berlinerweiss made with lime juice and lime peel. All three beers are then blended together in the fermentation tank to create this German hybrid.",248,20194
3.89,4.50,https://cdn.beeradvocate.com/im/beers/10683.jpg,Leipziger Gose,Gasthaus & Gosebrauerei Bayerischer Bahnhof,"This original Leipzig beer specialty lends us the name for our brewery. Gose is a regional beer specialty that was brought to Saxony-Anhalt in the year 1738. Originally Gose comes from Goslar, a small town in Lower Saxony, and the river “Gose” in this town. This beer specialty has a refreshing, slightly sour taste and is ideal for quenching your thirst. Gose is brewed with the additional ingredients lactic acid, cilantro, and salt. Gose is a top-fermented beer with 4.5% ABV and 10.8% wort. You can enjoy it in different variations.",478,16200
3.8,4.30,https://cdn.beeradvocate.com/im/beers/95326.jpg,Troublesome,Off Color Brewing,"Most brewers spend a lot of time and effort keeping lactobacillus out of their breweries; it was the first thing we brought in (it still has to stay in the corner though). We blend together two different beers to make Troublesome. The first is a somewhat uninteresting wheat beer and the second is an overly acidic & funky beer fermented solely with lactobacillus. We blend the two beers together with coriander and salt at the tail end of fermentation to create a mild, lemony tartness and a fuller sensation of mouthfeel. And yes, it's hard to make.",173,23666
4.39,4.60,https://cdn.beeradvocate.com/im/beers/121506.jpg,Stillwater / Westbrook - Gose Gone Wild,Stillwater Artisanal Ales,"It's no secret that we like to party, and sometimes it gets wild. So we took the Westbrook's refreshing Gose and cranked up the volume a bit, adding a massive dose of citra & amarillo hops, then fermented it with various strains of brettanomyces... Go Westbrook, it's your birthday, get funky!!",138,479
3.95,4.70,https://cdn.beeradvocate.com/im/beers/156202.jpg,Kirsch Gose,Victory Brewing Company - Downingtown,"A bold and bright step outside the norm, the flavors of a unique, old world German brewing process excite your senses with the sharp and sweet burst of fresh cherries. Effervescent and sublime, this session ale has an enticing cherry-fruit character. European tradition and American ingenuity come together in the truest sense as you Taste Victory in Kirsch Gose.Pours a ruby to light red with white foam. Aroma of fresh sour cherries with flavors of tartness, intense rounded cherry character, and a refreshing salty character. Crisp carbonation and light body are both combined into a thirst quencher.",207,11993
3.95,4.20,https://cdn.beeradvocate.com/im/beers/132073.jpg,Highway 128 Session Series: Blood Orange Gose,Anderson Valley Brewing Company,"Our Blood Orange Gose is a tart, refreshing wheat ale that is kettle-soured with lactobacillus and brewed with sea salt and coriander. However, unlike traditional versions of the style, ours features liberal additions of blood oranges during fermentation. This imparts tangy citrus notes that complement the champagne-like flavors, creating a complex and sessionable ale perfect for any occasion.",275,11966
3.85,4.20,https://cdn.beeradvocate.com/im/beers/99790.jpg,"The Kimmie, The Yink & The Holy Gose",Anderson Valley Brewing Company,"With a bright, golden color and tight creamy head, the earthy wood undertones in our Gose develop into a light mineral aroma with a hint of lemon zest and tropical fruit. Before boiling, the wort is kettle soured with lactobacillus, imparting an initial refreshing tartness that gives way to a subtle fullness. Flavors of guava and peach are followed by a slight sea salt dryness and lemon sourness that is enhanced by coriander and post-fermentation additions of salt. The finish is dry, effervescent, and lemon tangy, reminiscent of a fresh sea breeze.",278,19362
4.16,4.00,https://cdn.beeradvocate.com/im/beers/81010.jpg,Gose,Westbrook Brewing Co.,"This is our interpretation of Gose (pronounced “Gose-uh”), a traditional German-style sour wheat beer brewed with coriander and salt. Once nearly extinct, this very refreshing style is making a comeback.",356,3179
3.41,5.30,https://cdn.beeradvocate.com/im/beers/47413.jpg,Stegmaier Amber Lager,"Lion Brewery, Inc.",None provided.,65,43146
3.46,5.00,https://cdn.beeradvocate.com/im/beers/56521.jpg,Dundee Irish Red Lager,Genesee Brewing Co. / Dundee Brewing Co.,None provided.,40,42122
3.39,5.00,https://cdn.beeradvocate.com/im/beers/119142.jpg,Kutztown Lager,Saucony Creek Brewing Company + Gastropub,"RING BOLOGNA ONCE! RING BOLOGNA TWICE! WE’RE FROM KUUUUTZTOWN GEEEZZZ THAT’S NICE!!!! A Kutztown Ring Bologna smoked amber lager. In local Kutztown Pennsylvania Dutch fashion we crafted an amber lager that is brewed with malts that we smoke over Kutztown Ring Bologna, infusing traditional Pennsylvania Dutch flavors. Kutztown Lagerbier is bright amber beer with a subtle smoke flavor and crisp lager taste.",24,43575
3.87,5.20,https://cdn.beeradvocate.com/im/beers/235896.jpg,Cold Brew Coffee Lager,Matt Brewing Company / Saranac Brewery,None provided.,26,18361
3.39,4.00,https://cdn.beeradvocate.com/im/beers/55134.jpg,Ruby Lager,Olde Hickory Brewery,None provided.,21,43603
3.53,6.30,https://cdn.beeradvocate.com/im/beers/7052.jpg,Rochester Red,Rochester Mills Beer Co.,None provided.,15,40380
3.27,4.70,https://cdn.beeradvocate.com/im/beers/11158.jpg,Cypress Honey Lager,Granville Island Brewery,"Brewed in small batches, our Cypress Honey Lager is lightly hopped, mild and bright, and given a hint of sweetness with pure Fraser Valley honey. It’s like a refreshing blast of Cypress Mountain air.",31,45134
3.4,4.10,https://cdn.beeradvocate.com/im/beers/81025.jpg,American Amber,Straub Brewery,None provided.,26,43513
3.66,5.80,https://cdn.beeradvocate.com/im/beers/261225.jpg,Preseason Lager,Goose Island Beer Co.,None provided.,37,34142
3.84,7.00,https://cdn.beeradvocate.com/im/beers/96648.jpg,Short's Lil' Wheezy,Short's Brewing Company,None provided.,13,20593
3.52,5.00,https://cdn.beeradvocate.com/im/beers/119690.jpg,Mill Street 100th Meridian,Mill Street Brew Pub,"Our 100th Meridian Organic Amber Lager won gold at the 2017 International Brewing Awards in the Specialty Class 3 Organic Beer category. This beer was originally brewed at our Toronto brewpub, and is an organic beer brewed with ingredients from west of the 100th Meridian. Prairie pale, amber and caramel malts are combined artfully with citrusy and floral west coast hops, and then patiently fermented cool and aged cold in classic lager process to make a truly unique beer. Light copper in colour with a white head and aroma of fresh hops, this is a truly satisfying amber lager for all beer lovers. This beer is from a time and a place where quality and integrity aren’t just bywords or catch phrases, they are part of the authentic fabric of the land and its people.",34,40895
3.61,6.10,https://cdn.beeradvocate.com/im/beers/289889.jpg,Budweiser 1933 Repeal Reserve Amber Lager,Anheuser-Busch,None provided.,85,37249
3.3,5.30,https://cdn.beeradvocate.com/im/beers/40888.jpg,Trader Jose's Dark Lager,Trader Joe's Brewing Company,None provided.,99,45035
